statement,connective,pattern,label,conj_a,conj_b
The city of Mukalla is in Yemen or the city of Nanning is in Japan.,or,TF,1,The city of Mukalla is in Yemen.,The city of Nanning is in Japan.
The city of Laibin is in China and the city of Batam is in Turkey.,and,TF,0,The city of Laibin is in China.,The city of Batam is in Turkey.
The city of Cancun is in Myanmar or the city of Grosszschocher is in China.,or,FF,0,The city of Cancun is in Myanmar.,The city of Grosszschocher is in China.
The city of Chaozhou is in China or the city of Boumerdes is in Algeria.,or,TT,1,The city of Chaozhou is in China.,The city of Boumerdes is in Algeria.
The city of Hamadan is in Iran or the city of Nagoya is in Japan.,or,TT,1,The city of Hamadan is in Iran.,The city of Nagoya is in Japan.
The city of Seongnam-si is in Russia and the city of Nuernberg is in Germany.,and,FT,0,The city of Seongnam-si is in Russia.,The city of Nuernberg is in Germany.
The city of Harare is in Zimbabwe or the city of Shangrao is in Russia.,or,TF,1,The city of Harare is in Zimbabwe.,The city of Shangrao is in Russia.
The city of Qom is in Vietnam and the city of Jiangmen is in South Korea.,and,FF,0,The city of Qom is in Vietnam.,The city of Jiangmen is in South Korea.
The city of Suizhou is in Japan or the city of Antalya is in Germany.,or,FF,0,The city of Suizhou is in Japan.,The city of Antalya is in Germany.
The city of Santo Domingo Este is in the Dominican Republic and the city of Zahedan is in Iran.,and,TT,1,The city of Santo Domingo Este is in the Dominican Republic.,The city of Zahedan is in Iran.
The city of Shubra al Khaymah is in Nigeria and the city of Meknes is in Morocco.,and,FT,0,The city of Shubra al Khaymah is in Nigeria.,The city of Meknes is in Morocco.
The city of Suwon is in Russia and the city of Porto Alegre is in Belarus.,and,FF,0,The city of Suwon is in Russia.,The city of Porto Alegre is in Belarus.
The city of Durban is in Ukraine or the city of Wuhan is in Egypt.,or,FF,0,The city of Durban is in Ukraine.,The city of Wuhan is in Egypt.
The city of Algiers is in Algeria and the city of Ufa is in Russia.,and,TT,1,The city of Algiers is in Algeria.,The city of Ufa is in Russia.
The city of Zhenjiang is in China and the city of Tangier is in Ecuador.,and,TF,0,The city of Zhenjiang is in China.,The city of Tangier is in Ecuador.
The city of Bucheon-si is in South Korea and the city of Cheongju-si is in South Korea.,and,TT,1,The city of Bucheon-si is in South Korea.,The city of Cheongju-si is in South Korea.
The city of Tyumen is in Russia or the city of E'zhou is in Malaysia.,or,TF,1,The city of Tyumen is in Russia.,The city of E'zhou is in Malaysia.
The city of Visakhapatnam is in India and the city of Wanzhou is in China.,and,TT,1,The city of Visakhapatnam is in India.,The city of Wanzhou is in China.
The city of Curitiba is in India or the city of Tiruppur is in Japan.,or,FF,0,The city of Curitiba is in India.,The city of Tiruppur is in Japan.
The city of Denpasar is in Indonesia and the city of Dehra Dun is in India.,and,TT,1,The city of Denpasar is in Indonesia.,The city of Dehra Dun is in India.
The city of New Kingston is in Jamaica or the city of Xinyang is in China.,or,TT,1,The city of New Kingston is in Jamaica.,The city of Xinyang is in China.
The city of Shenyang is in China and the city of Ghaziabad is in India.,and,TT,1,The city of Shenyang is in China.,The city of Ghaziabad is in India.
The city of Hannover is in Germany and the city of Huizhou is in the United States.,and,TF,0,The city of Hannover is in Germany.,The city of Huizhou is in the United States.
The city of Bhavnagar is in India or the city of Shanghai is in Mexico.,or,TF,1,The city of Bhavnagar is in India.,The city of Shanghai is in Mexico.
The city of Kobe is in Japan or the city of Porto Alegre is in Brazil.,or,TT,1,The city of Kobe is in Japan.,The city of Porto Alegre is in Brazil.
The city of Oyo is in China and the city of Nuernberg is in Germany.,and,FT,0,The city of Oyo is in China.,The city of Nuernberg is in Germany.
The city of Nyala is in Sudan or the city of Gujranwala is in China.,or,TF,1,The city of Nyala is in Sudan.,The city of Gujranwala is in China.
The city of Quetta is in Pakistan and the city of Thuan An is in Vietnam.,and,TT,1,The city of Quetta is in Pakistan.,The city of Thuan An is in Vietnam.
The city of Semarang is in Saudi Arabia or the city of Daejeon is in India.,or,FF,0,The city of Semarang is in Saudi Arabia.,The city of Daejeon is in India.
The city of Rahim Yar Khan is in Lithuania or the city of Wuzhou is in China.,or,FT,1,The city of Rahim Yar Khan is in Lithuania.,The city of Wuzhou is in China.
The city of Barranquilla is in Pakistan or the city of Aden is in Japan.,or,FF,0,The city of Barranquilla is in Pakistan.,The city of Aden is in Japan.
The city of Hamhung is in China and the city of Ribeirao Preto is in Brazil.,and,FT,0,The city of Hamhung is in China.,The city of Ribeirao Preto is in Brazil.
The city of Riga is in Latvia or the city of Jilin is in the United States.,or,TF,1,The city of Riga is in Latvia.,The city of Jilin is in the United States.
The city of Addis Ababa is in Ethiopia or the city of Calgary is in India.,or,TF,1,The city of Addis Ababa is in Ethiopia.,The city of Calgary is in India.
The city of Yichang is in Japan and the city of Managua is in Turkey.,and,FF,0,The city of Yichang is in Japan.,The city of Managua is in Turkey.
The city of Jiangmen is in China and the city of Mandalay is in Algeria.,and,TF,0,The city of Jiangmen is in China.,The city of Mandalay is in Algeria.
The city of Huzhou is in Germany or the city of Karaj is in India.,or,FF,0,The city of Huzhou is in Germany.,The city of Karaj is in India.
The city of Port-au-Prince is in South Korea or the city of Kisangani is in the Democratic Republic of the Congo.,or,FT,1,The city of Port-au-Prince is in South Korea.,The city of Kisangani is in the Democratic Republic of the Congo.
The city of Irkutsk is in Russia and the city of Sulaymaniyah is in Turkey.,and,TF,0,The city of Irkutsk is in Russia.,The city of Sulaymaniyah is in Turkey.
The city of Erode is in India and the city of Solapur is in India.,and,TT,1,The city of Erode is in India.,The city of Solapur is in India.
The city of Guilin is in the Dominican Republic or the city of Puducherry is in Brazil.,or,FF,0,The city of Guilin is in the Dominican Republic.,The city of Puducherry is in Brazil.
The city of Ludhiana is in Togo or the city of Latakia is in Syria.,or,FT,1,The city of Ludhiana is in Togo.,The city of Latakia is in Syria.
The city of Cixi is in Indonesia and the city of Bucheon-si is in South Korea.,and,FT,0,The city of Cixi is in Indonesia.,The city of Bucheon-si is in South Korea.
The city of Bhayandar is in China or the city of Kanpur is in India.,or,FT,1,The city of Bhayandar is in China.,The city of Kanpur is in India.
The city of Makhachkala is in Russia or the city of Xingtai is in Russia.,or,TF,1,The city of Makhachkala is in Russia.,The city of Xingtai is in Russia.
The city of Sao Bernardo do Campo is in Zambia and the city of Guayaquil is in China.,and,FF,0,The city of Sao Bernardo do Campo is in Zambia.,The city of Guayaquil is in China.
The city of Milwaukee is in China and the city of Antwerpen is in Japan.,and,FF,0,The city of Milwaukee is in China.,The city of Antwerpen is in Japan.
The city of Saint Petersburg is in Canada or the city of Rio de Janeiro is in Brazil.,or,FT,1,The city of Saint Petersburg is in Canada.,The city of Rio de Janeiro is in Brazil.
The city of Joao Pessoa is in South Africa and the city of Incheon is in India.,and,FF,0,The city of Joao Pessoa is in South Africa.,The city of Incheon is in India.
The city of Nanded is in China or the city of Zunyi is in China.,or,FT,1,The city of Nanded is in China.,The city of Zunyi is in China.
The city of Liaocheng is in China or the city of Jiaxing is in Ukraine.,or,TF,1,The city of Liaocheng is in China.,The city of Jiaxing is in Ukraine.
The city of Riga is in Japan and the city of Londrina is in Brazil.,and,FT,0,The city of Riga is in Japan.,The city of Londrina is in Brazil.
The city of Tebessa is in India or the city of Culiacan is in Mexico.,or,FT,1,The city of Tebessa is in India.,The city of Culiacan is in Mexico.
The city of Kayseri is in Turkey and the city of Lahore is in Pakistan.,and,TT,1,The city of Kayseri is in Turkey.,The city of Lahore is in Pakistan.
The city of Hebi is in China or the city of Neijiang is in Ghana.,or,TF,1,The city of Hebi is in China.,The city of Neijiang is in Ghana.
The city of Nagoya is in China and the city of Saratov is in Indonesia.,and,FF,0,The city of Nagoya is in China.,The city of Saratov is in Indonesia.
The city of Saint Petersburg is in Canada or the city of Qinhuangdao is in China.,or,FT,1,The city of Saint Petersburg is in Canada.,The city of Qinhuangdao is in China.
The city of Maturin is in Saudi Arabia and the city of Yangquan is in China.,and,FT,0,The city of Maturin is in Saudi Arabia.,The city of Yangquan is in China.
The city of Benoni is in South Africa and the city of Aligarh is in India.,and,TT,1,The city of Benoni is in South Africa.,The city of Aligarh is in India.
The city of Tiruchirappalli is in Iraq or the city of Guankou is in Pakistan.,or,FF,0,The city of Tiruchirappalli is in Iraq.,The city of Guankou is in Pakistan.
The city of Rajkot is in India or the city of Nanning is in China.,or,TT,1,The city of Rajkot is in India.,The city of Nanning is in China.
The city of Kampala is in Turkey or the city of Cuiaba is in Brazil.,or,FT,1,The city of Kampala is in Turkey.,The city of Cuiaba is in Brazil.
The city of Kyoto is in China or the city of Yunfu is in China.,or,FT,1,The city of Kyoto is in China.,The city of Yunfu is in China.
The city of Contagem is in Indonesia or the city of Kitakyushu is in Yemen.,or,FF,0,The city of Contagem is in Indonesia.,The city of Kitakyushu is in Yemen.
The city of Kumamoto is in Japan or the city of Serang is in Indonesia.,or,TT,1,The city of Kumamoto is in Japan.,The city of Serang is in Indonesia.
The city of Bikaner is in India and the city of Tucson is in the United States.,and,TT,1,The city of Bikaner is in India.,The city of Tucson is in the United States.
The city of Baotou is in Japan or the city of Shenzhen is in Mexico.,or,FF,0,The city of Baotou is in Japan.,The city of Shenzhen is in Mexico.
The city of Victoria de Durango is in Ghana and the city of Yangon is in Kenya.,and,FF,0,The city of Victoria de Durango is in Ghana.,The city of Yangon is in Kenya.
The city of Panshan is in Japan or the city of Xiaogan is in Ukraine.,or,FF,0,The city of Panshan is in Japan.,The city of Xiaogan is in Ukraine.
The city of Sofia is in South Korea and the city of Prayagraj is in India.,and,FT,0,The city of Sofia is in South Korea.,The city of Prayagraj is in India.
The city of Feira de Santana is in China and the city of Kawaguchi is in Indonesia.,and,FF,0,The city of Feira de Santana is in China.,The city of Kawaguchi is in Indonesia.
The city of Jinan is in China and the city of Tijuana is in the United Arab Emirates.,and,TF,0,The city of Jinan is in China.,The city of Tijuana is in the United Arab Emirates.
The city of Herat is in Afghanistan and the city of Quzhou is in China.,and,TT,1,The city of Herat is in Afghanistan.,The city of Quzhou is in China.
The city of Yiwu is in China or the city of E'zhou is in Malaysia.,or,TF,1,The city of Yiwu is in China.,The city of E'zhou is in Malaysia.
The city of Chaozhou is in China and the city of Lahore is in Pakistan.,and,TT,1,The city of Chaozhou is in China.,The city of Lahore is in Pakistan.
The city of Tanggu is in South Korea and the city of Yibin is in Brazil.,and,FF,0,The city of Tanggu is in South Korea.,The city of Yibin is in Brazil.
The city of Xianning is in Lebanon or the city of Aden is in Yemen.,or,FT,1,The city of Xianning is in Lebanon.,The city of Aden is in Yemen.
The city of Poznan is in Poland and the city of Liaocheng is in South Korea.,and,TF,0,The city of Poznan is in Poland.,The city of Liaocheng is in South Korea.
